Sl no.	District Name	Market Name	Commodity	Variety	Grade	Min Price (Rs./Quintal)	Max Price (Rs./Quintal)	Modal Price (Rs./Quintal)	Price Date
177	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4475	4705	4550	29-Dec-21
178	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4725	4725	4725	27-Dec-21
179	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4725	4725	4725	26-Dec-21
180	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4100	4100	4100	23-Dec-21
181	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4475	4475	4475	22-Dec-21
182	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4605	4745	4605	21-Dec-21
183	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3920	3920	3920	20-Dec-21
184	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4600	4850	4600	17-Dec-21
185	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5140	5140	5140	15-Dec-21
186	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4745	4745	4745	14-Dec-21
187	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4700	4700	4700	10-Dec-21
188	Mandla	Bichhiya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5000	5000	21-Jul-21
189	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4801	5001	4801	23-Jul-21
190	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4901	4901	4901	22-Jul-21
191	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3200	5253	5000	22-Oct-21
192	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1800	1956	1811	10-Oct-21
193	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5000	5000	26-Jul-21
194	Sagar	Jaisinagar	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5500	5500	5500	05-Oct-21
195	Sagar	Jaisinagar	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5500	5500	5500	04-Oct-21
196	Sagar	Jaisinagar	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5800	6000	5900	30-Jul-21
197	Chhatarpur	LavKush Nagar(Laundi)	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5150	5300	5300	22-Dec-21
198	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5027	5027	5027	30-Dec-21
199	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4705	4800	4800	29-Dec-21
200	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4961	4961	4961	28-Dec-21
201	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4502	4945	4945	27-Dec-21
202	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4554	4554	4554	20-Dec-21
203	Sehore	Nasrullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4701	4701	4701	14-Dec-21
204	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3910	3910	3910	31-Dec-21
205	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4551	4551	4551	20-Dec-21
206	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4745	5365	5365	31-Dec-21
207	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4630	4680	4680	29-Dec-21
208	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3805	8325	7400	17-Dec-21
209	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5005	5705	5705	30-Jul-21
210	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4625	4625	4625	30-Dec-21
211	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4230	4600	4600	18-Dec-21
212	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5350	5300	28-Jun-22
213	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5100	5200	5150	23-Jun-22
214	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5090	5200	5145	11-Jun-22
215	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5200	5300	5250	25-May-22
216	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5200	5300	5250	21-May-22
217	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5100	5200	5150	19-May-22
218	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5080	5200	5140	16-May-22
219	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5300	5350	5325	12-May-22
220	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5200	5100	07-May-22
221	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5100	5410	5305	06-May-22
222	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5300	5275	04-May-22
223	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5150	5300	5225	03-May-22
224	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5100	5110	5105	29-Apr-22
225	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	5200	5000	24-Apr-22
226	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5200	5300	5250	23-Apr-22
227	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5200	5500	5350	20-Apr-22
228	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5200	5100	18-Apr-22
229	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5425	5600	5512	16-Apr-22
230	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5450	5550	5500	12-Apr-22
231	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5050	5025	10-Apr-22
232	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5350	5500	5425	09-Apr-22
233	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	5000	4900	08-Apr-22
234	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4990	5050	5020	25-Mar-22
235	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5100	5050	11-Mar-22
236	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5200	5100	10-Feb-22
237	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5350	5410	5400	04-Feb-22
238	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2500	5005	4700	20-Jun-22
239	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4110	4900	4500	14-Jun-22
240	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3350	3350	3350	13-Jun-22
241	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4005	4905	4500	11-Jun-22
242	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3700	3700	3700	01-Jun-22
243	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4405	4000	31-May-22
244	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3945	3945	3945	30-May-22
245	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3050	3050	3050	27-May-22
246	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	3000	3000	25-May-22
247	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4240	4240	4240	20-May-22
248	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3600	4360	3600	13-May-22
249	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4255	6100	5955	11-May-22
250	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4805	4900	4805	06-May-22
251	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3500	4785	4200	04-May-22
252	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3700	4500	4200	29-Apr-22
253	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4630	4505	28-Apr-22
254	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4600	4800	4755	27-Apr-22
255	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4700	4700	4700	26-Apr-22
256	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4400	4955	4500	25-Apr-22
257	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4500	4500	4500	20-Apr-22
258	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	4910	4800	19-Apr-22
259	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4900	5145	5030	18-Apr-22
260	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4900	5145	5030	16-Apr-22
261	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	5300	5205	11-Apr-22
262	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4170	6060	4170	10-Apr-22
263	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4170	6060	4170	09-Apr-22
264	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	6060	4200	08-Apr-22
265	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4855	4855	4855	07-Apr-22
266	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5305	5305	5305	06-Apr-22
267	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4845	4400	05-Apr-22
268	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4900	4900	4900	04-Apr-22
269	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4500	4500	4500	29-Mar-22
270	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5000	5000	26-Mar-22
271	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4000	4000	24-Mar-22
272	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4000	4000	23-Mar-22
273	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2800	2800	2800	21-Mar-22
274	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5500	5500	15-Mar-22
275	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	6360	5000	14-Mar-22
276	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	6360	6185	12-Mar-22
277	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5300	6500	6000	11-Mar-22
278	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4090	5400	4780	10-Mar-22
279	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	6095	4400	09-Mar-22
280	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	5160	5025	07-Mar-22
281	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	5880	5450	05-Mar-22
282	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4505	5205	4825	04-Mar-22
283	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	5650	5200	02-Mar-22
284	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2500	5500	4900	28-Feb-22
285	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	5365	5300	26-Feb-22
286	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1500	5230	4800	25-Feb-22
287	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2540	5700	4390	23-Feb-22
288	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3200	5940	5460	22-Feb-22
289	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3200	5940	5460	21-Feb-22
290	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3250	5440	4705	19-Feb-22
291	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3300	6000	5000	18-Feb-22
292	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2005	5560	4850	17-Feb-22
293	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2435	6000	5600	15-Feb-22
294	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2825	5635	5205	14-Feb-22
295	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2000	6200	5035	11-Feb-22
296	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2230	4915	4550	10-Feb-22
297	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3560	5330	4550	09-Feb-22
298	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2500	5700	5200	08-Feb-22
299	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	9695	4555	07-Feb-22
300	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1500	5560	4200	06-Feb-22
301	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1500	5560	4200	05-Feb-22
302	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1400	5515	4910	04-Feb-22
303	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2555	5575	4790	02-Feb-22
304	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3700	5605	4400	01-Feb-22
305	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2015	5851	4850	31-Jan-22
306	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2015	5851	4850	30-Jan-22
307	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3105	5360	4235	29-Jan-22
308	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1500	5410	5050	28-Jan-22
309	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3735	5505	5200	27-Jan-22
310	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3500	5505	4850	26-Jan-22
311	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3795	5110	4380	22-Jan-22
312	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2905	5600	4600	21-Jan-22
313	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	4805	4530	20-Jan-22
314	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2865	5450	4400	19-Jan-22
315	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3535	5400	4600	18-Jan-22
316	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4695	4470	17-Jan-22
317	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2505	5355	4815	13-Jan-22
318	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2000	5305	4725	12-Jan-22
319	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3200	5425	4805	11-Jan-22
320	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4380	5700	5345	10-Jan-22
321	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4555	4555	4555	09-Jan-22
